number,origin,destination,code,distance,duration,toll
60,"106.470382,29.579333","106.508776,29.624766",0,14371,1440,0
61,"106.470382,29.579333","106.610019,29.393231",0,36748,2460,0
62,"106.470382,29.579333","106.491342,29.663581",0,11463,1560,0
63,"106.470382,29.579333","106.503245,29.43697",0,27447,2040,0
64,"106.470382,29.579333","106.682204,29.624552",0,27958,1860,0
65,"106.470382,29.579333","106.324651,29.635466",0,32982,2220,0
66,"106.470382,29.579333","106.47412,29.76077",0,24407,1980,0
67,"106.470382,29.579333","106.324651,29.635466",0,32982,2220,0
68,"106.470382,29.579333","106.488117,29.59991",0,4886,900,0
69,"106.470382,29.579333","106.670156,29.633609",0,27808,1740,0
70,"106.470382,29.579333","106.670156,29.633609",0,27808,1740,0
71,"106.470382,29.579333","106.670156,29.633609",0,27808,1740,0
72,"106.470382,29.579333","106.473318,29.565592",0,7505,960,0
73,"106.470382,29.579333","106.473143,29.49352",0,17151,1620,0
74,"106.470382,29.579333","106.57072,29.656111",0,19929,1920,0
75,"106.470382,29.579333","106.53562,29.656515",0,16930,1800,0
76,"106.470382,29.579333","106.594307,29.570101",0,27743,2880,0
77,"106.470382,29.579333","106.551076,29.405264",0,40617,2460,0
78,"106.470382,29.579333","106.583643,29.564171",0,15697,3240,0
79,"106.470382,29.579333","106.517705,29.543923",0,12506,1620,0
80,"106.470382,29.579333","106.517705,29.543923",0,12506,1620,0
81,"106.470382,29.579333","106.465319,29.560707",0,5555,720,0
82,"106.470382,29.579333","106.539845,29.583886",0,8717,1320,0
83,"106.470382,29.579333","106.49598,29.60528",0,5443,900,0
84,"106.470382,29.579333","106.629724,29.688896",0,31982,2820,0
85,"106.470382,29.579333","106.53439,29.611868",0,11414,1140,0
86,"106.470382,29.579333","106.455654,29.535218",0,10123,1140,0
87,"106.470382,29.579333","106.62307,29.614479",0,24708,2100,0
88,"106.470382,29.579333","106.36498,29.453554",0,47994,3720,11
89,"106.470382,29.579333","106.228746,29.587019",0,40427,3180,0
90,"106.470382,29.579333","106.478899,29.642794",0,9765,1380,0
91,"106.470382,29.579333","106.481643,29.584444",0,3503,660,0
92,"106.470382,29.579333","106.509583,29.614488",0,9585,1200,0
93,"106.470382,29.579333","106.551376,29.564366",0,10880,1560,0
94,"106.470382,29.579333","106.455654,29.535218",0,10123,1140,0
95,"106.470382,29.579333","106.590964,29.743122",0,29263,2340,0
96,"106.470382,29.579333","106.368733,29.360143",0,38564,2760,0
97,"106.470382,29.579333","106.504022,29.541437",0,8888,1260,0
98,"106.470382,29.579333","106.540238,29.37809",0,34649,2640,0
99,"106.470382,29.579333","106.51228,29.511585",0,12948,1380,0
0,"106.670156,29.633609","106.498872,29.597912",0,23442,1740,0
1,"106.670156,29.633609","106.537816,29.62831",0,19009,1380,0
2,"106.670156,29.633609","106.656621,29.704052",0,11739,1200,0
3,"106.670156,29.633609","106.520989,29.546478",0,31375,2220,0
4,"106.670156,29.633609","106.566114,29.488635",0,34201,2460,0
5,"106.670156,29.633609","106.278841,29.390591",0,61493,3660,12
6,"106.670156,29.633609","106.38609,29.680634",0,40842,2640,0
7,"106.670156,29.633609","104.121661,30.960375",0,337316,16140,371
8,"106.670156,29.633609","114.203176,30.610257",0,850214,39660,998
9,"106.670156,29.633609","108.895401,34.24374",0,682125,32220,761
10,"106.670156,29.633609","116.238701,39.899425",0,1732197,81600,1757
11,"106.670156,29.633609","106.580033,29.494323",0,33828,2400,0
12,"106.670156,29.633609","106.51192,29.545792",0,31075,2340,0
13,"106.670156,29.633609","106.580033,29.494323",0,33828,2400,0
14,"106.670156,29.633609","106.580033,29.494323",0,33828,2400,0
15,"106.670156,29.633609","106.51192,29.545792",0,31075,2340,0
16,"106.670156,29.633609","106.583455,29.7242",0,20327,1980,0
17,"106.670156,29.633609","106.63903,29.741647",0,29099,2220,0
18,"106.670156,29.633609","106.322559,29.587865",0,43970,2760,0
19,"106.670156,29.633609","106.501745,29.549904",0,30279,2220,0
20,"106.670156,29.633609","106.335525,29.306186",0,71628,4260,18
21,"106.670156,29.633609","106.322559,29.587865",0,43970,2760,0
22,"106.670156,29.633609","106.541018,29.504005",0,37354,2820,0
23,"106.670156,29.633609","106.501745,29.549904",0,30279,2220,0
24,"106.670156,29.633609","106.541018,29.504005",0,37354,2820,0
25,"106.670156,29.633609","106.453207,29.481983",0,37640,2400,0
26,"106.670156,29.633609","106.484729,29.458992",0,42713,2520,0
27,"106.670156,29.633609","106.453207,29.481983",0,37640,2400,0
28,"106.670156,29.633609","106.333688,29.317011",0,70342,4080,18
29,"106.670156,29.633609","106.60536,29.713829",0,21484,1920,0
30,"106.670156,29.633609","106.459735,29.575523",0,26425,1740,0
31,"106.670156,29.633609","106.466603,29.561936",0,30653,2460,0
32,"106.670156,29.633609","106.554186,29.450315",0,39410,3000,0
33,"106.670156,29.633609","106.384825,29.676384",0,40310,2520,0
34,"106.670156,29.633609","106.63687,29.726257",0,30873,2220,0
35,"106.670156,29.633609","106.466603,29.561936",0,30653,2460,0
36,"106.670156,29.633609","106.532814,29.661553",0,23909,1560,0
37,"106.670156,29.633609","106.62299,29.694099",0,18997,2220,0
38,"106.670156,29.633609","106.579601,29.502594",0,32777,2280,0
39,"106.670156,29.633609","106.61362,29.700564",0,17406,1920,0
40,"106.670156,29.633609","106.457635,29.532843",0,32003,2280,0
41,"106.670156,29.633609","106.466603,29.561936",0,30653,2460,0
42,"106.670156,29.633609","106.49045,29.455114",0,47822,2760,0
43,"106.670156,29.633609","106.519562,29.616892",0,20548,1380,0
44,"106.670156,29.633609","106.497532,29.595188",0,23361,1680,0
45,"106.670156,29.633609","106.498125,29.534557",0,33762,2340,0
46,"106.670156,29.633609","106.635165,29.478089",0,36577,2280,0
0,"106.591886,29.533428","106.554929,29.559583",0,10626,3240,0
1,"106.591886,29.533428","106.563338,29.583119",0,12342,1320,0
2,"106.591886,29.533428","106.520194,29.511616",0,16333,1860,0
3,"106.591886,29.533428","106.522804,29.540642",0,21689,2340,0
4,"106.591886,29.533428","106.575354,29.558923",0,6237,2400,0
5,"106.591886,29.533428","106.389452,29.710435",0,49351,3600,0
6,"106.591886,29.533428","106.529894,29.529111",0,13673,2580,0
7,"106.591886,29.533428","106.486467,29.56205",0,19352,2880,0
8,"106.591886,29.533428","106.576253,29.52993",0,7211,1560,0
9,"106.591886,29.533428","106.506619,29.62111",0,20506,1860,0
10,"106.591886,29.533428","106.396359,29.246407",0,59508,3660,23
11,"106.591886,29.533428","106.519062,29.606843",0,18065,1860,0
12,"106.591886,29.533428","106.454114,29.542762",0,32154,2760,0
13,"106.591886,29.533428","106.338853,29.603472",0,47047,3720,0
14,"106.591886,29.533428","106.564655,29.639156",0,18147,2100,0
15,"106.591886,29.533428","106.440827,29.677463",0,36149,3060,0
16,"106.591886,29.533428","106.381747,29.407871",0,59765,4200,0
17,"106.591886,29.533428","106.535406,29.58118",0,13018,2820,0
18,"106.591886,29.533428","106.330443,29.605097",0,47785,3780,0
19,"106.591886,29.533428","106.469852,29.567755",0,20170,2940,0
