number,origin,destination,code,distance,duration,toll
55,"106.578811,29.583062","106.521924,29.624062",0,15706,1680,0
56,"106.578811,29.583062","106.45324,29.538004",0,21601,2640,0
57,"106.578811,29.583062","106.39973,29.641279",0,37041,3360,0
58,"106.578811,29.583062","106.324651,29.635466",0,42765,3360,0
59,"106.578811,29.583062","106.521924,29.624062",0,15706,1680,0
60,"106.578811,29.583062","106.694554,28.973976",0,103603,9660,0
61,"106.578811,29.583062","106.533595,29.384211",0,34642,4140,0
62,"106.578811,29.583062","106.458697,29.540749",0,21595,2700,0
63,"106.578811,29.583062","106.626249,29.676689",0,21739,2400,0
64,"106.578811,29.583062","106.458697,29.540749",0,21595,2700,0
65,"106.578811,29.583062","106.470313,29.725997",0,29033,2580,0
66,"106.578811,29.583062","106.634226,29.719035",0,34324,3240,0
67,"106.578811,29.583062","106.561772,29.607034",0,9882,1140,0
