number,origin,destination,code,distance,duration,toll,restriction
18,"106.515487,29.624322","106.532099,29.51222",0,16643,3240,0,1
19,"106.515487,29.624322","106.516043,29.622297",0,1305,360,0,1
20,"106.515487,29.624322","106.587459,29.543327",0,16938,3420,0,1
21,"106.515487,29.624322","106.820019,29.693393",0,49549,4320,0,1
22,"106.515487,29.624322","106.60369,29.632117",0,28993,4560,0,1
23,"106.515487,29.624322","106.47412,29.76077",0,19459,2580,0,1
24,"106.515487,29.624322","106.307813,29.55804",0,35790,3720,0,1
25,"106.515487,29.624322","106.577512,29.691415",0,18193,2460,0,1
26,"106.515487,29.624322","106.543839,29.473039",0,22610,3960,0,1
27,"106.515487,29.624322","106.494448,29.454464",0,29542,4740,0,1
28,"106.515487,29.624322","106.549381,29.52491",0,16908,3480,0,1
29,"106.515487,29.624322","106.311379,29.681187",0,28966,2760,0,1
30,"106.515487,29.624322","106.50355,29.606218",0,2971,900,0,1
31,"106.515487,29.624322","106.488323,29.702462",0,11312,1500,0,1
32,"106.515487,29.624322","106.464633,29.556611",0,13510,2100,0,1
33,"106.515487,29.624322","106.487723,29.464073",0,24288,3960,0,1
34,"106.515487,29.624322","106.515357,29.501573",0,17407,3300,0,1
35,"106.515487,29.624322","106.800921,29.652905",0,39538,4500,0,1
36,"106.515487,29.624322","106.340831,29.626253",0,27584,2460,0,1
37,"106.515487,29.624322","106.244431,29.481045",0,52785,4320,0,1
38,"106.515487,29.624322","106.494448,29.454464",0,29542,4740,0,1
39,"106.515487,29.624322","106.488323,29.702462",0,11312,1500,0,1
40,"106.515487,29.624322","106.595651,29.423402",0,33413,5160,0,1
41,"106.515487,29.624322","106.767814,29.628511",0,38503,4740,0,1
42,"106.515487,29.624322","106.43982,29.667897",0,14132,1800,0,1
43,"106.515487,29.624322","106.478925,29.554136",0,12276,2160,0,1
44,"106.515487,29.624322","106.478925,29.554136",0,12276,2160,0,1
45,"106.515487,29.624322","106.549354,29.560878",0,11811,2700,0,1
46,"106.515487,29.624322","106.591757,29.56081",0,15012,3180,0,1
47,"106.515487,29.624322","106.744944,29.609495",0,38429,4620,0,1
48,"106.515487,29.624322","106.508461,29.602091",0,3733,900,0,1
49,"106.515487,29.624322","106.535587,29.807428",0,25041,2880,0,1
50,"106.515487,29.624322","106.645811,29.48559",0,29653,3540,0,1
51,"106.515487,29.624322","106.772502,29.681089",0,48745,4320,0,1
52,"106.515487,29.624322","106.580104,29.560173",0,13213,2820,0,1
53,"106.515487,29.624322","106.450784,29.46597",0,28705,4500,0,1
54,"106.515487,29.624322","106.51557,29.585954",0,6768,2040,0,1
55,"106.515487,29.624322","106.44339,29.833109",0,35300,3540,0,1
56,"106.515487,29.624322","106.565222,29.664372",0,14499,2460,0,1
57,"106.515487,29.624322","106.494448,29.454464",0,29542,4740,0,1
58,"106.515487,29.624322","106.509122,29.615086",0,1921,480,0,1
59,"106.515487,29.624322","106.508461,29.602091",0,3733,900,0,1
60,"106.515487,29.624322","106.508461,29.602091",0,3733,900,0,1
61,"106.515487,29.624322","106.514249,29.582631",0,7366,1740,0,1
62,"106.515487,29.624322","106.508461,29.602091",0,3733,900,0,1
63,"106.515487,29.624322","106.6134,29.688502",0,19933,3540,0,1
64,"106.515487,29.624322","106.453638,29.650345",0,15769,1980,0,1
65,"106.515487,29.624322","106.626114,29.398649",0,37585,5580,0,1
66,"106.515487,29.624322","106.533997,29.565588",0,9165,2100,0,1
67,"106.515487,29.624322","106.551843,29.650122",0,7255,1560,0,1
68,"106.515487,29.624322","106.581698,29.520627",0,20897,3600,0,1
69,"106.515487,29.624322","106.52288,29.550783",0,12728,2760,0,1
70,"106.515487,29.624322","106.512547,29.511351",0,17315,3360,0,1
71,"106.515487,29.624322","106.473207,29.564749",0,11193,1740,0,1
72,"106.515487,29.624322","106.481465,29.771363",0,21014,2760,0,1
73,"106.515487,29.624322","106.481465,29.771363",0,21014,2760,0,1
74,"106.515487,29.624322","106.641637,29.612773",0,30227,4260,0,1
75,"106.515487,29.624322","106.55654,29.562133",0,12345,2700,0,1
76,"106.515487,29.624322","106.57571,29.580888",0,12168,2340,0,1
77,"106.515487,29.624322","106.575313,29.577264",0,10906,2280,0,1
78,"106.515487,29.624322","106.577057,29.578312",0,12594,2400,0,1
79,"106.515487,29.624322","106.324981,29.525253",0,39347,3360,0,1
80,"106.515487,29.624322","106.54485,29.416135",0,29266,4740,0,1
81,"106.515487,29.624322","106.538812,29.657252",0,7439,2040,0,1
82,"106.515487,29.624322","106.538812,29.657252",0,7439,2040,0,1
83,"106.515487,29.624322","106.590121,29.568028",0,16538,3540,0,1
84,"106.515487,29.624322","106.487157,29.628072",0,3796,540,0,1
85,"106.515487,29.624322","106.524603,29.541083",0,14860,3180,0,1
86,"106.515487,29.624322","106.524603,29.541083",0,14860,3180,0,1
87,"106.515487,29.624322","106.539246,29.599319",0,5459,1500,0,1
88,"106.515487,29.624322","105.738583,29.70041",0,128784,10560,0,1
89,"106.515487,29.624322","106.496322,29.619746",0,2409,480,0,1
90,"106.515487,29.624322","106.54746,29.415515",0,29575,4800,0,1
91,"106.515487,29.624322","106.505464,29.554275",0,13195,2280,0,1
92,"106.515487,29.624322","106.424981,29.816815",0,34418,3300,0,1
93,"106.515487,29.624322","106.437744,29.834768",0,35449,3420,0,1
94,"106.515487,29.624322","105.70941,29.703558",0,135232,11220,0,1
95,"106.515487,29.624322","106.453589,29.540679",0,14726,2520,0,1
96,"106.515487,29.624322","106.412223,29.811194",0,33043,3060,0,1
97,"106.515487,29.624322","106.556505,29.562989",0,12117,2640,0,1
98,"106.515487,29.624322","106.543865,29.425925",0,27948,4560,0,1
99,"106.515487,29.624322","106.543865,29.425925",0,27948,4560,0,1
0,"106.57485,29.733029","106.384825,29.676384",0,40699,3240,0,0
1,"106.57485,29.733029","106.556809,29.517229",0,36266,4800,0,1
2,"106.57485,29.733029","106.569953,29.481373",0,39676,5220,0,1
3,"106.57485,29.733029","106.515487,29.624322",0,22907,3060,0,1
4,"106.57485,29.733029","106.563185,29.465776",0,42890,5520,0,1
5,"106.57485,29.733029","106.794496,29.687276",0,36008,3720,0,0
6,"106.57485,29.733029","106.56982,29.584005",0,29992,4080,0,1
7,"106.57485,29.733029","106.423114,29.838559",0,35776,2700,0,0
8,"106.57485,29.733029","106.483385,29.629215",0,20934,2520,0,0
9,"106.57485,29.733029","106.411922,29.810434",0,31544,2520,0,1
10,"106.57485,29.733029","106.545594,29.500913",0,37099,5040,0,1
11,"106.57485,29.733029","106.372849,29.634566",0,40975,3420,0,0
12,"106.57485,29.733029","106.537811,29.590335",0,25306,3480,0,1
13,"106.57485,29.733029","106.575366,29.577498",0,29185,3960,0,1
14,"106.57485,29.733029","106.633012,29.717755",0,7702,1380,0,1
15,"106.57485,29.733029","106.549654,29.612006",0,24947,3480,0,1
16,"106.57485,29.733029","106.645588,29.765431",0,13798,1440,0,0
17,"106.57485,29.733029","106.524153,29.385368",0,54842,7140,0,1
18,"106.57485,29.733029","106.532099,29.51222",0,34678,4800,0,1
19,"106.57485,29.733029","106.516043,29.622297",0,20628,2580,0,1
20,"106.57485,29.733029","106.587459,29.543327",0,35213,4920,0,1
21,"106.57485,29.733029","106.820019,29.693393",0,37534,3840,0,0
22,"106.57485,29.733029","106.60369,29.632117",0,23580,3600,0,0
23,"106.57485,29.733029","106.47412,29.76077",0,19348,2280,0,0
24,"106.57485,29.733029","106.307813,29.55804",0,51353,3900,0,1
25,"106.57485,29.733029","106.577512,29.691415",0,7790,1080,0,0
26,"106.57485,29.733029","106.543839,29.473039",0,40645,5400,0,1
27,"106.57485,29.733029","106.494448,29.454464",0,96837,7320,0,0
28,"106.57485,29.733029","106.549381,29.52491",0,35623,4920,0,1
29,"106.57485,29.733029","106.311379,29.681187",0,35986,2880,0,0
30,"106.57485,29.733029","106.50355,29.606218",0,21006,2580,0,1
31,"106.57485,29.733029","106.488323,29.702462",0,16610,1740,0,1
32,"106.57485,29.733029","106.464633,29.556611",0,31554,3840,0,1
33,"106.57485,29.733029","106.487723,29.464073",0,42323,5460,0,1
34,"106.57485,29.733029","106.515357,29.501573",0,35442,4860,0,1
35,"106.57485,29.733029","106.800921,29.652905",0,34125,3600,0,0
36,"106.57485,29.733029","106.340831,29.626253",0,44637,3720,0,0
37,"106.57485,29.733029","106.244431,29.481045",0,65469,4860,0,0
38,"106.57485,29.733029","106.494448,29.454464",0,96837,7320,0,0
39,"106.57485,29.733029","106.488323,29.702462",0,16610,1740,0,1
40,"106.57485,29.733029","106.595651,29.423402",0,51590,6480,0,1
41,"106.57485,29.733029","106.767814,29.628511",0,33090,3840,0,0
42,"106.57485,29.733029","106.43982,29.667897",0,57578,5160,0,0
43,"106.57485,29.733029","106.478925,29.554136",0,30311,3840,0,1
44,"106.57485,29.733029","106.478925,29.554136",0,30311,3840,0,1
45,"106.57485,29.733029","106.549354,29.560878",0,29846,4260,0,1
46,"106.57485,29.733029","106.591757,29.56081",0,33287,4860,0,1
47,"106.57485,29.733029","106.744944,29.609495",0,33016,3720,0,0
48,"106.57485,29.733029","106.508461,29.602091",0,21768,2640,0,1
49,"106.57485,29.733029","106.535587,29.807428",0,14845,1260,0,0
50,"106.57485,29.733029","106.645811,29.48559",0,60412,5460,7,0
51,"106.57485,29.733029","106.772502,29.681089",0,32581,3480,0,0
52,"106.57485,29.733029","106.580104,29.560173",0,31488,4500,0,1
53,"106.57485,29.733029","106.450784,29.46597",0,46740,5760,0,1
54,"106.57485,29.733029","106.51557,29.585954",0,24803,3720,0,1
55,"106.57485,29.733029","106.44339,29.833109",0,33800,3060,0,1
56,"106.57485,29.733029","106.565222,29.664372",0,16921,1800,0,1
57,"106.57485,29.733029","106.494448,29.454464",0,96837,7320,0,0
58,"106.57485,29.733029","106.509122,29.615086",0,21206,2640,0,1
