number,origin,destination,code,distance,duration,toll,restriction
71,"106.384825,29.676384","106.473207,29.564749",0,24560,2340,0,1
72,"106.384825,29.676384","106.481465,29.771363",0,25909,2100,0,0
73,"106.384825,29.676384","106.481465,29.771363",0,25909,2100,0,0
74,"106.384825,29.676384","106.641637,29.612773",0,38522,3180,0,0
75,"106.384825,29.676384","106.55654,29.562133",0,30712,2640,0,1
76,"106.384825,29.676384","106.57571,29.580888",0,32666,2520,0,1
77,"106.384825,29.676384","106.575313,29.577264",0,32042,2400,0,1
78,"106.384825,29.676384","106.577057,29.578312",0,33092,2520,0,1
79,"106.384825,29.676384","106.324981,29.525253",0,21993,1920,0,0
80,"106.384825,29.676384","106.54485,29.416135",0,44224,2880,0,1
81,"106.384825,29.676384","106.538812,29.657252",0,20478,2220,0,1
82,"106.384825,29.676384","106.538812,29.657252",0,20478,2220,0,1
83,"106.384825,29.676384","106.590121,29.568028",0,35134,3120,0,1
84,"106.384825,29.676384","106.487157,29.628072",0,16318,1380,0,0
85,"106.384825,29.676384","106.524603,29.541083",0,31306,2880,0,1
86,"106.384825,29.676384","106.524603,29.541083",0,31306,2880,0,1
87,"106.384825,29.676384","106.539246,29.599319",0,25160,1860,0,1
88,"106.384825,29.676384","105.738583,29.70041",0,69662,3960,60,0
89,"106.384825,29.676384","106.496322,29.619746",0,19396,1860,0,1
90,"106.384825,29.676384","106.54746,29.415515",0,44533,2940,0,1
91,"106.384825,29.676384","106.505464,29.554275",0,29040,2400,0,1
92,"106.384825,29.676384","106.424981,29.816815",0,21184,1560,0,1
93,"106.384825,29.676384","106.437744,29.834768",0,21495,1800,0,1
94,"106.384825,29.676384","105.70941,29.703558",0,71612,4200,60,1
95,"106.384825,29.676384","106.453589,29.540679",0,29955,2340,0,1
96,"106.384825,29.676384","106.412223,29.811194",0,19809,1380,0,1
97,"106.384825,29.676384","106.556505,29.562989",0,30484,2580,0,1
98,"106.384825,29.676384","106.543865,29.425925",0,44249,3000,0,1
99,"106.384825,29.676384","106.543865,29.425925",0,44249,3000,0,1
0,"106.57485,29.733029","106.384825,29.676384",0,28531,2340,0,0
1,"106.57485,29.733029","106.556809,29.517229",0,33737,3300,0,1
2,"106.57485,29.733029","106.569953,29.481373",0,36349,3780,0,1
3,"106.57485,29.733029","106.515487,29.624322",0,18903,1800,0,1
4,"106.57485,29.733029","106.563185,29.465776",0,39563,4200,0,1
5,"106.57485,29.733029","106.794496,29.687276",0,34409,2340,0,0
6,"106.57485,29.733029","106.56982,29.584005",0,26351,2520,0,1
7,"106.57485,29.733029","106.423114,29.838559",0,30332,2040,0,0
8,"106.57485,29.733029","106.483385,29.629215",0,18746,1740,0,0
9,"106.57485,29.733029","106.411922,29.810434",0,28024,1920,0,1
10,"106.57485,29.733029","106.545594,29.500913",0,37517,3720,0,1
11,"106.57485,29.733029","106.372849,29.634566",0,37912,2640,0,0
12,"106.57485,29.733029","106.537811,29.590335",0,21062,2100,0,1
13,"106.57485,29.733029","106.575366,29.577498",0,25544,2460,0,1
14,"106.57485,29.733029","106.633012,29.717755",0,7702,1020,0,1
15,"106.57485,29.733029","106.549654,29.612006",0,20837,2220,0,1
16,"106.57485,29.733029","106.645588,29.765431",0,13736,1740,0,0
17,"106.57485,29.733029","106.524153,29.385368",0,56441,4560,0,1
18,"106.57485,29.733029","106.532099,29.51222",0,35096,3360,0,1
19,"106.57485,29.733029","106.516043,29.622297",0,18692,1800,0,1
20,"106.57485,29.733029","106.587459,29.543327",0,31572,3240,0,1
21,"106.57485,29.733029","106.820019,29.693393",0,38833,2640,0,0
22,"106.57485,29.733029","106.60369,29.632117",0,27002,2760,0,0
23,"106.57485,29.733029","106.47412,29.76077",0,18001,1680,0,0
24,"106.57485,29.733029","106.307813,29.55804",0,47446,3960,0,1
25,"106.57485,29.733029","106.577512,29.691415",0,8112,960,0,0
26,"106.57485,29.733029","106.543839,29.473039",0,37531,3840,0,1
27,"106.57485,29.733029","106.494448,29.454464",0,44437,3600,0,0
28,"106.57485,29.733029","106.549381,29.52491",0,31542,3240,0,1
29,"106.57485,29.733029","106.311379,29.681187",0,34782,2520,0,0
30,"106.57485,29.733029","106.50355,29.606218",0,19070,1920,0,1
31,"106.57485,29.733029","106.488323,29.702462",0,16610,1380,0,1
